Experiments,,,,,,,,,,,,
User model,Trace file,Period,Adversary,Machine,Run time / Start time,End time,Disk usage,Format,# parallel processes,path selection algorithm,Status,Output basedir
websearch,traces_processed.pickle,4/2012 - 3/2013,"4 guards, 4 exits, time 0",kronos,1722 min.,4/22/13 6:34,68GB,normal,,,,
typical,users2-processed.traces.pickle,1/2013 - 3/2013,"171394 guard cons bw, 238205 exit cons bw, time 0",kronos,607 min.,4/26/13 6:47,20.4GB (compressed),normal,,,,
typical,users2-processed.traces.pickle,1/2013 - 3/2013,314643-39481-0,kronos,609 min.,4/26/13 9:43,21GB (compressed),normal,,,,
typical,users2-processed.traces.pickle,1/2013 - 3/2013,339610-4845-0,kronos,146 min.,4/26/13 14:20,65GB,relay-adv,,,,
typical,users2-processed.traces.pickle,1/2013 - 3/2013,288115-76282-0,kronos,138 min.,4/26/13 21:24,66GB,relay-adv,,,,
typical,users2-processed.traces.pickle,1/2013 - 3/2013,229755-157244-0,kronos,4/27/13 12:52,,,relay-adv,1,tor,running,/mnt/ram
irc,users2-processed.traces.pickle,1/2013 - 3/2013,288115-76282-0,kronos,130 min.,4/28/13 1:33,3.3GB,relay-adv,4,tor,,/home/ajohnson/research/torps.git
bittorrent,users2-processed.traces.pickle,1/2013 - 3/2013,288115-76282-0,kronos,313-500 min (second round faster - probably bc fewer other processes to share resources) ,4/28/12 3:49,163GB,relay-adv,16,tor,,/home/ajohnson/research/torps.git
typical,users2-processed.traces.pickle,1/2013 - 3/2013,579920-157244-0,kronos,204-268 min (depending on round),4/28/13 2:26,66GB,relay-adv,7,tor,,/home/ajohnson/research/torps.git
typical,users2-processed.traces.pickle,1/2013 - 3/2013,142213-35801-0,kronos,197-276 min,4/28/13 2:36,66GB,relay-adv,7,tor,,/home/ajohnson/research/torps.git
typical,users2-processed.traces.pickle,1/2013 - 3/2013,69262-15560-0,kronos,202-274 min,4/28/13 2:34,,relay-adv,7,tor,,/home/ajohnson/research/torps.git
typical,users2-processed.traces.pickle,1/2013 - 3/2013,25492-3416-0,kronos,204-272 min,4/28/13 2:28,,relay-adv,7,tor,,/home/ajohnson/research/torps.git
typical,users2-processed.traces.pickle,1/2013 - 3/2013,288115-76282-0,apollo,4/27/13 15:48,"Round 1, 4/28 5:12 (775 min)",3.3GB/process (est. 65GB total),relay-adv,10,cat,running,/home/ajohnson/research/pathsim.git
typical,users2-processed.traces.pickle,11/2012 - 3/2013,288115-76282-1356998400,apollo,4/27/13 16:04,"Round 1, 4/28 3:32 (662 min)",5.5GB/process (est. 109GB total),relay-adv,10,tor,running,/home/ajohnson/research/pathsim.git
typical,users2-processed.traces.pickle,4/2012-3/2013,288115-76282-0,virtualnet,4/28/13 9:58,,,relay-adv,20,tor,running,/mnt/shared/orsec_data
simple,,,,,,,,,,,,
